2024-05-08T00:00:26.241-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:00:26.233Z uptime=34800141ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=38 (+0)]
2024-05-08T00:22:31.414-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:22:31.412Z uptime=36125320ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:23:01.424-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:23:01.422Z uptime=36155330ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:23:31.432-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:23:31.424Z uptime=36185332ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:24:01.436-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:24:01.435Z uptime=36215343ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:24:31.448-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:24:31.445Z uptime=36245353ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:25:01.457-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:25:01.455Z uptime=36275363ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:25:31.458-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:25:31.458Z uptime=36305366ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:26:01.465-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:26:01.464Z uptime=36335372ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:27:20.110-04:00  WARN 7628 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m22s74ms).
2024-05-08T00:27:23.547-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:27:23.541Z uptime=36417449ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:28:22.470-04:00  WARN 7628 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m2s360ms).
2024-05-08T00:28:25.903-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:28:25.897Z uptime=36479805ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:28:55.914-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:28:55.912Z uptime=36509820ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:44:58.426-04:00  WARN 7628 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m5s932ms).
2024-05-08T00:45:01.854-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:45:01.850Z uptime=37475758ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:45:31.859-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:45:31.857Z uptime=37505765ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:46:01.866-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:46:01.865Z uptime=37535773ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:46:31.869-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:46:31.868Z uptime=37565776ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:47:01.880-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:47:01.878Z uptime=37595786ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:47:31.892-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:47:31.889Z uptime=37625797ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:48:01.901-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:48:01.898Z uptime=37655806ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
2024-05-08T00:48:31.913-04:00  INFO 7628 --- [activepivot-health-event-dispatcher] c.a.t.o.a.h.ILoggingHealthEventHandler   : [jvm, memory] INFO 2024-05-08T04:48:31.905Z uptime=37685813ms com.activeviam.tech.observability.internal.health.JvmHealthCheck.createEvent:57 thread=activeviam-health-check-worker thread_id=57 event_type=JvmMemoryReport JVM Memory Usage report: G1 Young Generation[count=20 (+0), time=0s (+0)]  G1 Concurrent GC[count=6 (+0), time=0s (+0)]  G1 Old Generation[count=0 (+0), time=0s (+0)]  Heap[used=90 MiB 691 KiB (95080232) (+(0)), committed=264 MiB (276824064) (+(0)), max=10 GiB (10737418240) (+(0))]  Direct[used=67 KiB 1023 bytes (69631) (+(0)), reserved=67 KiB 1023 bytes (69631) (+(0)), count=7 (+0), max=20 GiB (21474836480) (+(0))]  Threads[count=36 (+0), peak=39 (+0)]
